Model: [-1, -2, 3, 4, 5], Cost: 988.6666666666667
Model: [1, -2, 3, 4, 5], Cost: 988.6666666666667
Model: [1, -2, 3, -4, 5], Cost: 988.6666666666667
Model: [-1, -2, 3, -4, 5], Cost: 988.6666666666667
Model: [-1, 2, 3, -4, 5], Cost: 988.6666666666667
Model: [-1, 2, -3, -4, 5], Cost: 988.6666666666667
Model: [1, 2, -3, -4, 5], Cost: 989.6666666666667
Model: [1, -2, -3, -4, 5], Cost: 989.6666666666667
Model: [-1, -2, -3, -4, 5], Cost: 989.6666666666667
Model: [1, 2, 3, -4, 5], Cost: 989.6666666666667
Model: [-1, 2, 3, 4, 5], Cost: 989.6666666666667
Model: [-1, 2, -3, 4, 5], Cost: 989.6666666666667
Model: [-1, -2, -3, 4, 5], Cost: 989.6666666666667
Model: [1, -2, -3, 4, 5], Cost: 989.6666666666667
Model: [1, 2, 3, 4, 5], Cost: 990.6666666666667
Model: [1, 2, -3, 4, 5], Cost: 990.6666666666667
Time taken: 0.003585999999999978
